username,full_name,id,city,country_code,followers_count,permalink_url,avatar_url,verified,last_modified,kind
Turpo Tone,,340066546,,,1526,https://soundcloud.com/turpotone,https://i1.sndcdn.com/avatars-A78i8cGKQFMBtWzE-WYqyBg-large.jpg,False,2020-07-07T20:07:13Z,user
music tone ميوزك تون,,5542985,,,12800,https://soundcloud.com/musictonee,https://i1.sndcdn.com/avatars-000324568699-r2ihzt-large.jpg,False,2017-10-25T19:24:11Z,user
Hussam.k.mohammedy,Hossam Jokar,32458159,,,219,https://soundcloud.com/hossam-jokar,https://i1.sndcdn.com/avatars-vUNd16zSYFvsQyjo-BV5dXg-large.jpg,False,2021-05-28T02:21:12Z,user
Mohamed Ali 606,Mohamed Ali,68273941,,,160,https://soundcloud.com/mohamed-ali-633,https://i1.sndcdn.com/avatars-xBvhToZ3bHcqVoMn-DzZQjg-large.jpg,False,2021-03-04T17:00:33Z,user
IBrahim Sa'ied,IBrahim Sa'ied,22443343,Fayoum,EG,2133,https://soundcloud.com/is3id,https://i1.sndcdn.com/avatars-000071504472-v4m1g1-large.jpg,False,2017-12-20T09:50:15Z,user
AQUARIUS GIRL,,192778424,,,6570,https://soundcloud.com/aquarius-girl-531562137,https://a1.sndcdn.com/images/default_avatar_large.png,False,2015-12-13T09:07:41Z,user
Mahmoud Adel,Mahmoud Adel,77814542,cairo,EG,12041,https://soundcloud.com/mahmoudadel_sound,https://i1.sndcdn.com/avatars-000178733100-3n87j8-large.jpg,False,2016-07-10T23:26:54Z,user
Eslam Zikâ,S Lam Cabo,64466967,CairO,EG,1641,https://soundcloud.com/s-lam-cabo,https://i1.sndcdn.com/avatars-dHoTBhcNL5cGSO0a-OKv77g-large.jpg,False,2021-02-03T21:37:59Z,user
Firas Lover,Firas Lover,202606077,,,2409,https://soundcloud.com/firas-lover,https://i1.sndcdn.com/avatars-000201923229-a0ykwa-large.jpg,False,2016-02-12T02:46:58Z,user
ĚśĽâm Elhadry 2,ĚśĽâm Elhadry,105917848,"Shibin al Kawm, Al Minufiyah, Egypt",EG,1153,https://soundcloud.com/m-elhadry,https://i1.sndcdn.com/avatars-000096038011-by4wwz-large.jpg,False,2015-02-14T16:58:38Z,user
Mőŝťăfă Ƕămĕď,Mostafa hamed,123095197, Cairo,,24,https://soundcloud.com/n-bsh-lak,https://i1.sndcdn.com/avatars-000287990660-i4mu5o-large.jpg,False,2018-09-21T00:12:48Z,user
TarekMedani,Tarek Medani,23248938,Cairo,EG,59,https://soundcloud.com/tarekmedani,https://i1.sndcdn.com/avatars-000056964980-fq5bq2-large.jpg,False,2017-05-02T17:13:28Z,user
Roqaiation2,Roqaia El-sharkawy,45593906,cairo,EG,4122,https://soundcloud.com/roqaiation2,https://i1.sndcdn.com/avatars-000051280164-wlbk6b-large.jpg,False,2013-08-28T15:59:43Z,user
ZEYAD,Zeyad Abo Alezz,45085050,Damietta,EG,733,https://soundcloud.com/zeyad-aboelezz,https://i1.sndcdn.com/avatars-KS3FZF1XEeHc3m8v-q3LbSg-large.jpg,False,2021-10-02T20:33:13Z,user
ma227,,70072410,,,1718,https://soundcloud.com/ma227,https://i1.sndcdn.com/avatars-000457918143-ixpoha-large.jpg,False,2018-06-14T04:05:59Z,user
AmrDiab,Amr Diab,1817800,Cairo,EG,510855,https://soundcloud.com/amrdiab,https://i1.sndcdn.com/avatars-cLpWLOWNSYtBofzi-WzTOVA-large.jpg,True,2021-10-16T13:37:03Z,user
The Weeknd,,3274725,Toronto,CA,6286940,https://soundcloud.com/theweeknd,https://i1.sndcdn.com/avatars-UeyAINJUDtKizwXG-y2rykg-large.jpg,True,2021-11-02T00:00:01Z,user
Foster The People,,4135436,"Los Angeles, CA",US,152788,https://soundcloud.com/fosterthepeoplemusic,https://i1.sndcdn.com/avatars-6N3pUBArMVNJ8lxN-czpbqA-large.jpg,True,2020-11-18T17:39:41Z,user
Foster The People,,4135436,"Los Angeles, CA",US,152788,https://soundcloud.com/fosterthepeoplemusic,https://i1.sndcdn.com/avatars-6N3pUBArMVNJ8lxN-czpbqA-large.jpg,True,2020-11-18T17:39:41Z,user
Foster The People,,4135436,"Los Angeles, CA",US,152788,https://soundcloud.com/fosterthepeoplemusic,https://i1.sndcdn.com/avatars-6N3pUBArMVNJ8lxN-czpbqA-large.jpg,True,2020-11-18T17:39:41Z,user
OLD MAN CANYON,,40788157,Vancouver,CA,4031,https://soundcloud.com/oldmancanyon,https://i1.sndcdn.com/avatars-ulLvJw8SzNV79ClZ-Zv3zEw-large.jpg,False,2020-12-19T22:37:01Z,user
user760217,,14897026,,,58,https://soundcloud.com/user760217,https://a1.sndcdn.com/images/default_avatar_large.png,False,2012-04-08T16:21:03Z,user
Glassnote Records,Glassnote Records,937943,New York,US,17869,https://soundcloud.com/glassnotemusic,https://i1.sndcdn.com/avatars-000068166553-vfxuqa-large.jpg,True,2021-06-14T22:11:25Z,user
Dr.Yan,,69190161,Chicago,US,24,https://soundcloud.com/dr-yan-1,https://i1.sndcdn.com/avatars-000062166661-ysvdri-large.jpg,False,2014-06-18T03:30:26Z,user
Diizzy,Devon Allen,14821701,Providence,,1979,https://soundcloud.com/therealdiizzy,https://i1.sndcdn.com/avatars-000661222355-c89g5m-large.jpg,False,2019-07-25T15:12:28Z,user
OB OBRIEN,,77342827,,,66144,https://soundcloud.com/ob-obrien,https://i1.sndcdn.com/avatars-000144350669-c516b8-large.jpg,True,2020-11-18T18:02:55Z,user
Jhené Aiko,Jhené Chilombo,55142839,Los Angeles,US,662155,https://soundcloud.com/jhene-aiko-1,https://i1.sndcdn.com/avatars-aIIAnpKbELzlXSjU-Xgqq7A-large.jpg,True,2021-10-05T00:00:01Z,user
TopDawgEnt,Top Dawg Ent,2171095,"Los Angeles, CA",US,1490987,https://soundcloud.com/topdawgent,https://i1.sndcdn.com/avatars-000197605950-ahvnbr-large.jpg,True,2021-01-17T00:07:01Z,user
TriAngleRecords,Tri  Angle,1280538,,,52977,https://soundcloud.com/tri_angle_records,https://i1.sndcdn.com/avatars-000189897199-ojo6no-large.jpg,True,2020-11-20T15:18:41Z,user
Tony414,,96243979,,,125,https://soundcloud.com/tonyy414,https://i1.sndcdn.com/avatars-000201563482-ej98b8-large.jpg,False,2016-03-31T17:07:18Z,user
Eloseeoh,Cale Artist,15800581,"Kinston, North Carolina",US,785,https://soundcloud.com/eloseeoh,https://i1.sndcdn.com/avatars-000493981725-uokfgz-large.jpg,False,2020-09-30T01:12:03Z,user
Bollywood unplugged,Bollywood songs,128479062,Delhi,IN,3501,https://soundcloud.com/ollywoodunplugged,https://i1.sndcdn.com/avatars-000120408562-1tw889-large.jpg,False,2014-12-19T06:57:53Z,user
litamargritan,Lita Margrita N,100468433,Karanganyar,ID,123,https://soundcloud.com/litamargritan,https://i1.sndcdn.com/avatars-000115895440-gv3ahr-large.jpg,False,2015-08-09T05:58:32Z,user
Hina,,65675893,Karachi ,PK,385,https://soundcloud.com/user776002812,https://i1.sndcdn.com/avatars-ogyQODkqBNCRpbWZ-zommqA-large.jpg,False,2021-09-06T18:29:48Z,user
Awais jalil,Awais Jalil,36131946,Riyadh,SA,608,https://soundcloud.com/awais-jalil,https://i1.sndcdn.com/avatars-000308354747-l88a52-large.jpg,False,2017-04-18T08:22:21Z,user
Danyal مینگل,Danyal Mengal,21509737,quetta ,PK,551,https://soundcloud.com/danyal-mengal,https://i1.sndcdn.com/avatars-4Xyk4Dv5yVEygTDX-rx8gMw-large.jpg,False,2021-01-30T13:37:04Z,user
